latitude,longitude,month,Wind Chill Index
11.75,0.5,4,-27.580957
11.75,0.75,4,-28.648285
11.75,1,4,-28.73906
11.75,1.25,4,-28.442907
11.75,1.5,4,-28.24796
11.75,1.75,4,-29.332975
11.75,2,4,-31.684788
11.75,2.25,4,-33.358147
11.75,2.5,4,-36.242813
11.75,2.75,4,-38.637775
11.75,3,4,-39.910294
11.75,-5,5,20.932318
11.75,-4.75,5,22.119705
11.75,-4.5,5,21.531126
11.75,-4.25,5,20.241198
11.75,-4,5,20.977518
11.75,-3.75,5,21.956635
11.75,-3.5,5,21.249569
11.75,-3.25,5,18.628752
11.75,-3,5,18.359743
11.75,-2.75,5,19.256157
11.75,-2.5,5,20.985125
11.75,-2.25,5,21.416117
11.75,-2,5,20.632526
11.75,-1.75,5,19.703157
11.75,-1.5,5,18.581953
11.75,-1.25,5,18.229567
11.75,-1,5,17.146608
11.75,-0.75,5,18.510971
11.75,-0.5,5,19.819885
11.75,-0.25,5,20.630615
11.75,0,5,21.482903
11.75,0.25,5,20.75669
11.75,0.5,5,20.506065
11.75,0.75,5,19.756216
11.75,1,5,20.056765
11.75,1.25,5,20.49642
11.75,1.5,5,21.225504
11.75,1.75,5,20.703104
11.75,2,5,18.759174
11.75,2.25,5,17.552076
11.75,2.5,5,13.809494
11.75,2.75,5,10.275486
11.75,3,5,7.9036956
11.75,-5,6,71.807205
11.75,-4.75,6,73.050644
11.75,-4.5,6,73.10016
11.75,-4.25,6,72.726494
11.75,-4,6,74.05785
11.75,-3.75,6,75.00519
11.75,-3.5,6,74.57402
11.75,-3.25,6,72.8597
11.75,-3,6,72.71538
11.75,-2.75,6,73.08401
11.75,-2.5,6,75.13872
11.75,-2.25,6,76.441605
11.75,-2,6,76.65455
11.75,-1.75,6,76.47651
11.75,-1.5,6,75.8888
11.75,-1.25,6,76.145645
11.75,-1,6,75.129295
11.75,-0.75,6,75.41243
11.75,-0.5,6,75.3684
11.75,-0.25,6,75.88465
11.75,0,6,76.68603
11.75,0.25,6,76.32873
11.75,0.5,6,76.26196
11.75,0.75,6,75.33967
11.75,1,6,75.53721
11.75,1.25,6,75.05861
11.75,1.5,6,75.22981
11.75,1.75,6,74.45135
11.75,2,6,72.9186
11.75,2.25,6,73.16045
11.75,2.5,6,70.70322
11.75,2.75,6,68.70087
11.75,3,6,67.681114
11.75,-5,7,118.43449
11.75,-4.75,7,118.97607
11.75,-4.5,7,119.660645
11.75,-4.25,7,120.09866
11.75,-4,7,121.413216
11.75,-3.75,7,122.45553
11.75,-3.5,7,122.80855
11.75,-3.25,7,121.745
11.75,-3,7,121.71352
11.75,-2.75,7,121.727684
11.75,-2.5,7,123.19915
11.75,-2.25,7,124.3433
11.75,-2,7,124.68658
11.75,-1.75,7,124.99915
11.75,-1.5,7,124.50884
11.75,-1.25,7,125.315155
11.75,-1,7,125.29324
11.75,-0.75,7,125.10415
11.75,-0.5,7,124.74386
11.75,-0.25,7,125.609665
11.75,0,7,126.79087
11.75,0.25,7,127.68802
11.75,0.5,7,128.91373
11.75,0.75,7,128.94255
11.75,1,7,130.30292
11.75,1.25,7,130.27264
11.75,1.5,7,129.87996
11.75,1.75,7,128.37837
11.75,2,7,125.92321
11.75,2.25,7,125.24958
11.75,2.5,7,122.417725
11.75,2.75,7,120.68516
11.75,3,7,120.04283
11.75,-5,8,130.04288
11.75,-4.75,8,130.62323
11.75,-4.5,8,131.83382
11.75,-4.25,8,133.4108
11.75,-4,8,135.02559
11.75,-3.75,8,136.18613
11.75,-3.5,8,137.1621
11.75,-3.25,8,136.65408
11.75,-3,8,137.04858
11.75,-2.75,8,137.11066
11.75,-2.5,8,138.32423
11.75,-2.25,8,139.30215
11.75,-2,8,139.43118
11.75,-1.75,8,139.7999
11.75,-1.5,8,138.934
11.75,-1.25,8,139.56607
11.75,-1,8,140.12044
11.75,-0.75,8,139.626
11.75,-0.5,8,139.14034
11.75,-0.25,8,140.38785
11.75,0,8,141.88388
11.75,0.25,8,143.57205
11.75,0.5,8,145.4459
11.75,0.75,8,146.14868
11.75,1,8,148.44421
11.75,1.25,8,149.14128
11.75,1.5,8,148.9269
11.75,1.75,8,147.65666
11.75,2,8,145.49629
11.75,2.25,8,144.24239
11.75,2.5,8,140.84389
11.75,2.75,8,139.06409
11.75,3,8,137.62723
11.75,-5,9,101.833405
11.75,-4.75,9,102.47808
11.75,-4.5,9,103.421074
11.75,-4.25,9,105.64386
11.75,-4,9,107.65602
11.75,-3.75,9,108.346
11.75,-3.5,9,108.78003
11.75,-3.25,9,108.51648
11.75,-3,9,109.77638
11.75,-2.75,9,110.7397
11.75,-2.5,9,111.579636
11.75,-2.25,9,112.01118
11.75,-2,9,112.10226
11.75,-1.75,9,113.002495
11.75,-1.5,9,113.22511
11.75,-1.25,9,113.8228
11.75,-1,9,114.47257
11.75,-0.75,9,114.36608
11.75,-0.5,9,113.558105
11.75,-0.25,9,114.09087
11.75,0,9,114.87597
11.75,0.25,9,116.43441
11.75,0.5,9,118.457535
11.75,0.75,9,119.40926
11.75,1,9,121.29161
11.75,1.25,9,121.12951
11.75,1.5,9,120.05653
11.75,1.75,9,117.79138
11.75,2,9,115.35907
11.75,2.25,9,114.46274
11.75,2.5,9,111.96982
11.75,2.75,9,111.45472
11.75,3,9,110.996735
11.75,-5,10,60.002514
11.75,-4.75,10,60.590843
11.75,-4.5,10,60.34605
11.75,-4.25,10,59.995388
11.75,-4,10,61.376484
11.75,-3.75,10,61.04057
11.75,-3.5,10,58.640316
11.75,-3.25,10,56.671215
11.75,-3,10,57.0356
11.75,-2.75,10,58.547215
11.75,-2.5,10,60.239346
11.75,-2.25,10,60.282578
11.75,-2,10,60.420128
11.75,-1.75,10,60.750362
11.75,-1.5,10,61.533176
11.75,-1.25,10,62.307137
11.75,-1,10,61.888477
11.75,-0.75,10,62.898987
11.75,-0.5,10,62.30463
11.75,-0.25,10,61.329136
11.75,0,10,60.19508
11.75,0.25,10,59.089096
11.75,0.5,10,59.2911
11.75,0.75,10,58.91579
11.75,1,10,59.765816
11.75,1.25,10,59.253742
11.75,1.5,10,57.834568
11.75,1.75,10,54.37768
11.75,2,10,50.67549
11.75,2.25,10,50.335037
11.75,2.5,10,48.05306
11.75,2.75,10,47.18343
11.75,3,10,48.42446
11.75,-5,11,28.186125
11.75,-4.75,11,27.900393
11.75,-4.5,11,26.206867
11.75,-4.25,11,25.91479
11.75,-4,11,25.791224
11.75,-3.75,11,23.04611
11.75,-3.5,11,20.193304
11.75,-3.25,11,19.528429
11.75,-3,11,21.669645
11.75,-2.75,11,22.17525
11.75,-2.5,11,21.054577
11.75,-2.25,11,19.839424
11.75,-2,11,19.982618
11.75,-1.75,11,20.613674
11.75,-1.5,11,21.050629
11.75,-1.25,11,21.660284
11.75,-1,11,21.44917
11.75,-0.75,11,22.08957
11.75,-0.5,11,21.403797
11.75,-0.25,11,20.231749
11.75,0,11,19.223942
11.75,0.25,11,17.74198
11.75,0.5,11,17.320671
11.75,0.75,11,17.008692
11.75,1,11,17.927809
11.75,1.25,11,17.949345
11.75,1.5,11,17.492004
11.75,1.75,11,16.811426
11.75,2,11,15.393752
11.75,2.25,11,16.075483
11.75,2.5,11,16.938776
11.75,2.75,11,18.99917
11.75,3,11,21.736738
11.75,-5,12,82.354706
11.75,-4.75,12,82.020546
11.75,-4.5,12,82.81614
11.75,-4.25,12,86.24558
11.75,-4,12,86.44961
11.75,-3.75,12,82.36284
11.75,-3.5,12,80.49229
11.75,-3.25,12,81.92043
11.75,-3,12,85.545135
11.75,-2.75,12,83.964386
11.75,-2.5,12,80.19974
11.75,-2.25,12,79.94556
11.75,-2,12,81.7717
11.75,-1.75,12,84.004486
11.75,-1.5,12,84.77442
11.75,-1.25,12,85.27646
11.75,-1,12,85.33605
11.75,-0.75,12,84.64067
11.75,-0.5,12,83.16501
11.75,-0.25,12,82.67647
11.75,0,12,83.032684
11.75,0.25,12,82.49553
11.75,0.5,12,81.85178
11.75,0.75,12,81.2927
11.75,1,12,82.19763
11.75,1.25,12,82.56322
11.75,1.5,12,82.96915
11.75,1.75,12,83.48388
11.75,2,12,83.31162
11.75,2.25,12,85.21739
11.75,2.5,12,87.34288
11.75,2.75,12,89.78136
11.75,3,12,91.96895
11.5,-5,1,95.95507
11.5,-4.75,1,97.24038
11.5,-4.5,1,98.61059
11.5,-4.25,1,100.15377
11.5,-4,1,98.94221
11.5,-3.75,1,96.34878
