latitude,longitude,month,HEAT INDEX
11.75,-3.75,11,88.212715
11.75,-3.5,11,88.00607
11.75,-3.25,11,87.78929
11.75,-3,11,87.83271
11.75,-2.75,11,88.10075
11.75,-2.5,11,88.214935
11.75,-2.25,11,88.3401
11.75,-2,11,88.32478
11.75,-1.75,11,88.142845
11.75,-1.5,11,88.04727
11.75,-1.25,11,87.851776
11.75,-1,11,87.74847
11.75,-0.75,11,87.82988
11.75,-0.5,11,87.543915
11.75,-0.25,11,87.38135
11.75,0,11,87.45416
11.75,0.25,11,87.49577
11.75,0.5,11,87.48729
11.75,0.75,11,87.27934
11.75,1,11,87.22978
11.75,1.25,11,87.279366
11.75,1.5,11,87.37828
11.75,1.75,11,87.442566
11.75,2,11,87.4115
11.75,2.25,11,87.54158
11.75,2.5,11,87.39128
11.75,2.75,11,87.146774
11.75,3,11,87.122505
11.75,-5,12,82.27164
11.75,-4.75,12,82.358536
11.75,-4.5,12,82.271126
11.75,-4.25,12,82.05053
11.75,-4,12,82.08884
11.75,-3.75,12,82.29806
11.75,-3.5,12,82.40264
11.75,-3.25,12,82.28337
11.75,-3,12,82.152985
11.75,-2.75,12,82.26404
11.75,-2.5,12,82.40745
11.75,-2.25,12,82.477356
11.75,-2,12,82.395134
11.75,-1.75,12,82.240425
11.75,-1.5,12,82.138695
11.75,-1.25,12,82.04813
11.75,-1,12,82.03922
11.75,-0.75,12,82.04314
11.75,-0.5,12,82.03648
11.75,-0.25,12,82.069115
11.75,0,12,82.10629
11.75,0.25,12,82.1993
11.75,0.5,12,82.26117
11.75,0.75,12,82.25487
11.75,1,12,82.22165
11.75,1.25,12,82.21571
11.75,1.5,12,82.20859
11.75,1.75,12,82.19125
11.75,2,12,82.18073
11.75,2.25,12,82.10103
11.75,2.5,12,81.945114
11.75,2.75,12,81.756325
11.75,3,12,81.618546
11.5,-5,1,81.22204
11.5,-4.75,1,81.22363
11.5,-4.5,1,81.18586
11.5,-4.25,1,81.13721
11.5,-4,1,81.23082
11.5,-3.75,1,81.37049
11.5,-3.5,1,81.38186
11.5,-3.25,1,81.27203
11.5,-3,1,81.14078
11.5,-2.75,1,81.238365
11.5,-2.5,1,81.44476
11.5,-2.25,1,81.47611
11.5,-2,1,81.35683
11.5,-1.75,1,81.22731
11.5,-1.5,1,81.13779
11.5,-1.25,1,81.060135
11.5,-1,1,81.03825
11.5,-0.75,1,81.04302
11.5,-0.5,1,81.097374
11.5,-0.25,1,81.161995
11.5,0,1,81.13956
11.5,0.25,1,81.1597
11.5,0.5,1,81.20481
11.5,0.75,1,81.213394
11.5,1,1,81.162254
11.5,1.25,1,81.136345
11.5,1.5,1,81.13964
11.5,1.75,1,81.10863
11.5,2,1,81.09279
11.5,2.25,1,81.05133
11.5,2.5,1,80.91995
11.5,2.75,1,80.78045
11.5,3,1,80.72
11.5,-5,2,84.97203
11.5,-4.75,2,84.95345
11.5,-4.5,2,84.91217
11.5,-4.25,2,84.8442
11.5,-4,2,84.91841
11.5,-3.75,2,85.03716
11.5,-3.5,2,85.03215
11.5,-3.25,2,84.93769
11.5,-3,2,84.80206
11.5,-2.75,2,84.92649
11.5,-2.5,2,85.14865
11.5,-2.25,2,85.18055
11.5,-2,2,85.078735
11.5,-1.75,2,84.95183
11.5,-1.5,2,84.87385
11.5,-1.25,2,84.79475
11.5,-1,2,84.767715
11.5,-0.75,2,84.76197
11.5,-0.5,2,84.80714
11.5,-0.25,2,84.84436
11.5,0,2,84.80036
11.5,0.25,2,84.808815
11.5,0.5,2,84.83378
11.5,0.75,2,84.85722
11.5,1,2,84.81739
11.5,1.25,2,84.819435
11.5,1.5,2,84.8377
11.5,1.75,2,84.80929
11.5,2,2,84.82421
11.5,2.25,2,84.7846
11.5,2.5,2,84.67442
11.5,2.75,2,84.55388
11.5,3,2,84.502785
11.5,-5,3,89.970795
11.5,-4.75,3,89.94125
11.5,-4.5,3,89.92636
11.5,-4.25,3,89.89088
11.5,-4,3,89.967384
11.5,-3.75,3,90.031
11.5,-3.5,3,90.04342
11.5,-3.25,3,90.00658
11.5,-3,3,90.001
11.5,-2.75,3,90.0909
11.5,-2.5,3,90.20798
11.5,-2.25,3,90.26648
11.5,-2,3,90.255264
11.5,-1.75,3,90.19781
11.5,-1.5,3,90.173935
11.5,-1.25,3,90.11994
11.5,-1,3,90.12299
11.5,-0.75,3,90.21618
11.5,-0.5,3,90.08162
11.5,-0.25,3,90.014465
11.5,0,3,90.01707
11.5,0.25,3,89.99541
11.5,0.5,3,90.07529
11.5,0.75,3,90.01428
11.5,1,3,89.97409
11.5,1.25,3,89.987274
11.5,1.5,3,89.952194
11.5,1.75,3,89.95803
11.5,2,3,90.0005
11.5,2.25,3,90.04538
11.5,2.5,3,89.98151
11.5,2.75,3,89.93157
11.5,3,3,89.93248
11.5,-5,4,96.58395
11.5,-4.75,4,96.47377
11.5,-4.5,4,96.51835
11.5,-4.25,4,96.51273
11.5,-4,4,96.59587
11.5,-3.75,4,96.55684
11.5,-3.5,4,96.4436
11.5,-3.25,4,96.35568
11.5,-3,4,96.46021
11.5,-2.75,4,96.43212
11.5,-2.5,4,96.52014
11.5,-2.25,4,96.62009
11.5,-2,4,96.64032
11.5,-1.75,4,96.66471
11.5,-1.5,4,96.58805
11.5,-1.25,4,96.51918
11.5,-1,4,96.48918
11.5,-0.75,4,96.68252
11.5,-0.5,4,96.41562
11.5,-0.25,4,96.2438
11.5,0,4,96.3712
11.5,0.25,4,96.3115
11.5,0.5,4,96.510345
11.5,0.75,4,96.38905
11.5,1,4,96.279205
11.5,1.25,4,96.23076
11.5,1.5,4,96.03826
11.5,1.75,4,96.027985
11.5,2,4,96.07069
11.5,2.25,4,96.263214
11.5,2.5,4,96.22672
11.5,2.75,4,96.124344
11.5,3,4,96.13427
11.5,-5,5,97.5679
11.5,-4.75,5,97.45479
11.5,-4.5,5,97.41673
11.5,-4.25,5,97.30973
11.5,-4,5,97.39732
11.5,-3.75,5,97.289444
11.5,-3.5,5,97.1288
11.5,-3.25,5,97.11638
11.5,-3,5,97.12096
11.5,-2.75,5,96.92956
11.5,-2.5,5,97.037994
11.5,-2.25,5,97.15959
11.5,-2,5,97.163055
11.5,-1.75,5,97.23067
11.5,-1.5,5,97.1707
11.5,-1.25,5,96.951416
11.5,-1,5,96.72031
11.5,-0.75,5,96.808105
11.5,-0.5,5,96.59859
11.5,-0.25,5,96.476776
11.5,0,5,96.65776
11.5,0.25,5,96.63579
11.5,0.5,5,96.72529
11.5,0.75,5,96.5746
11.5,1,5,96.41418
11.5,1.25,5,96.38768
11.5,1.5,5,96.36549
11.5,1.75,5,96.55438
11.5,2,5,96.84214
11.5,2.25,5,97.23978
11.5,2.5,5,97.2809
11.5,2.75,5,97.05298
11.5,3,5,97.192055
11.5,-5,6,93.31462
11.5,-4.75,6,93.170204
11.5,-4.5,6,93.0958
11.5,-4.25,6,92.98189
11.5,-4,6,93.01391
11.5,-3.75,6,92.900986
11.5,-3.5,6,92.72861
11.5,-3.25,6,92.84205
11.5,-3,6,92.72784
11.5,-2.75,6,92.533775
11.5,-2.5,6,92.58625
11.5,-2.25,6,92.62226
11.5,-2,6,92.67979
11.5,-1.75,6,92.65031
11.5,-1.5,6,92.60251
11.5,-1.25,6,92.32643
11.5,-1,6,92.097664
11.5,-0.75,6,92.125916
11.5,-0.5,6,91.95195
